area_mean,area_se,area_worst,concavity_se,fractal_dimension_mean,perimeter_mean,perimeter_worst,radius_mean,radius_worst,smoothness_mean,smoothness_worst,symmetry_worst,texture_mean,texture_worst
1.55E+03,54.3,1.67E+03,0.0599,0.0715,150,151,22.6,22.6,0.0915,0.155,0.294,14.9,20.6
1.35E+03,35.3,715,0.0576,0.055,141,93.7,21.3,15.7,0.1,0.15,0.3,18.3,22.4
406,30.4,863,0.0612,0.0638,70.9,101,11,14.3,0.0848,0.117,0.225,15.5,33.5
962,53.2,1.68E+03,0.00107,0.0585,122,142,18.2,21.7,0.108,0.159,0.279,22.2,21.2
310,72.2,2.17E+03,0.0433,0.0661,72.9,190,11.8,27.8,0.0992,0.138,0.269,20.5,13.8
1.56E+03,-12.3,-109,0.0425,0.043,159,66,23.8,10.2,0.103,0.108,0.215,15.7,26.6
1.16E+03,48.2,1.17E+03,0.0635,0.0577,126,122,18.8,18.7,0.0767,0.136,0.252,14.9,30
723,33.8,860,0.00404,0.0577,95.4,96.1,14.8,14.9,0.0832,0.0961,0.285,11.3,28.1
739,139,1.34E+03,0.0164,0.0648,97.1,133,14.6,20,0.116,0.124,0.388,15.7,10.9
1.26E+03,60.4,1.10E+03,0.0274,0.0589,135,131,20.5,19.1,0.0936,0.135,0.371,18.2,17.9
408,91.7,1.06E+03,0.00633,0.0638,72,118,11.3,18.1,0.127,0.134,0.304,26.3,27.7
553,15.2,1.16E+03,0.0452,0.0558,86.6,118,13.7,18.4,0.116,0.163,0.284,19.7,29.4
420,56.4,1.08E+03,0.0382,0.0572,75.6,105,12.2,16.6,0.0834,0.107,0.329,22.6,23.1
920,60.4,1.56E+03,0.0354,0.0638,113,148,17.2,22.1,0.0927,0.142,0.345,12.6,14.3
874,-13,101,0.026,0.0549,106,74.4,16,10.6,0.0933,0.131,0.33,14.2,21.3
1.24E+03,29.5,880,0.00523,0.0819,135,120,20.3,17.8,0.0921,0.107,0.217,26.2,20.9
508,61.6,1.49E+03,0.045,0.0696,80.3,151,12.7,22.6,0.0857,0.114,0.228,16.9,20.9
95.3,112,1.08E+03,0.0286,0.0574,50.5,111,8.13,17.5,0.0949,0.125,0.308,20.6,19.5
982,124,1.56E+03,0.0431,0.0697,105,150,16.3,22,0.0937,0.0978,0.236,16.2,16.1
673,88.2,1.54E+03,0.0196,0.0566,92.6,144,14.3,21.3,0.113,0.146,0.217,14.8,28.3
583,134,1.62E+03,0.0582,0.0685,83.5,150,12.9,21,0.106,0.123,0.358,17.5,9.66
588,148,1.39E+03,0.0435,0.0448,81.6,129,12.7,19.3,0.0964,0.158,0.271,20.3,19.3
1.25E+03,122,1.81E+03,0.0311,0.0625,130,164,19.7,24.9,0.112,0.132,0.225,16,30.6
21.6,118,787,0.0357,0.0671,50.1,103,7.55,15.4,0.0969,0.103,0.181,21.5,28.1
757,42.6,1.09E+03,0.0562,0.0495,98.9,114,15.1,17.8,0.0874,0.143,0.336,20.5,28.3
1.06E+03,49.6,900,0.0194,0.0558,116,93.6,17.8,15.2,0.113,0.131,0.259,12.3,26.7
469,36.7,97,0.0583,0.0646,76.1,67.8,11.7,9.91,0.101,0.134,0.298,25,19
655,-15.8,455,0.0673,0.0642,90.8,89.4,14.1,12.6,0.0811,0.139,0.238,26,34.2
1.11E+03,79.6,1.31E+03,0.0365,0.062,125,136,18.6,20.8,0.0894,0.146,0.394,12.4,18.8
621,36.7,697,0.046,0.064,92.7,100,14,14,0.0857,0.0749,0.4,18.8,12.9
770,65.1,1.67E+03,-0.00832,0.0602,100,150,15.5,22.3,0.0991,0.127,0.213,15.5,26.7
531,186,2.41E+03,0.0429,0.0647,77.3,182,11.8,28.1,0.0909,0.137,0.346,24.5,24.3
1.10E+03,-21.7,303,0.00858,0.0578,119,61.4,18.3,10.6,0.108,0.119,0.326,14.3,30
961,64.9,1.45E+03,0.103,0.0614,113,136,17.4,20.5,0.119,0.133,0.281,19.9,22.6
1.30E+03,25.7,981,0.0539,0.06,129,115,19.7,17.4,0.0782,0.129,0.262,21.4,20
860,55,444,0.0553,0.0615,104,80.5,15.9,13,0.0992,0.103,0.307,22.1,35.1
462,61.9,1.14E+03,0.014,0.055,77.2,129,12.2,19.4,0.0793,0.11,0.384,20.7,34.1
1.03E+03,83.9,1.89E+03,0.00681,0.0566,124,157,18.7,23.4,0.0912,0.093,0.292,15,25.6
270,27.4,899,0.0295,0.0554,64.5,108,10.6,16.1,0.113,0.137,0.321,13.7,24.7
668,87.1,941,0.00701,0.0605,88.7,110,13.5,17.1,0.0871,0.133,0.242,21.5,23.5
1.02E+03,77.6,1.42E+03,-0.0149,0.0663,117,139,17.8,21.2,0.0976,0.144,0.367,19.5,21.6
492,78.9,1.64E+03,0.0723,0.069,76.5,154,12.2,22.2,0.121,0.155,0.264,22.3,31.3
771,21.6,1.29E+03,0.0789,0.0615,102,126,15.7,19.9,0.0921,0.12,0.316,18.7,25.8
-69.2,73.3,1.41E+03,-0.0152,0.0542,38.1,137,6.58,20.4,0.0967,0.177,0.207,12.5,28.1
589,37.2,1.26E+03,-0.00112,0.0453,89.6,120,13.8,18.9,0.1,0.118,0.412,22,36.3
514,13.7,142,0.00859,0.0775,82.6,65.3,12.4,9.33,0.107,0.127,0.398,20,28.1
681,21.5,1.02E+03,0.0553,0.0658,100,108,15.2,16.3,0.0879,0.129,0.273,17.7,20.4
582,35.3,217,0.0565,0.062,86.4,75.2,12.8,11.8,0.088,0.135,0.245,13.5,17.2
415,55,1.70E+03,0.0352,0.0663,80.6,152,12.4,22.9,0.0973,0.17,0.266,11.7,33.7
687,29.7,1.12E+03,0.0333,0.0698,102,117,15,17.8,0.0881,0.123,0.326,20.6,33.3
931,122,1.57E+03,0.0898,0.0754,110,153,16.6,23,0.089,0.102,0.238,19.1,16.6
-137,6.03,890,-0.000461,0.0593,35.1,113,6.11,16.4,0.0992,0.145,0.195,16.5,30.7
680,-39.5,-437,0.0482,0.0634,88,24.2,13.5,4.66,0.0937,0.156,0.312,16.4,31.7
251,43.4,1.45E+03,0.0485,0.0648,71.6,145,10.8,22.1,0.0768,0.121,0.369,18.8,23.1
516,87.2,924,0.0285,0.0626,80,108,12.5,16,0.082,0.105,0.239,14.7,31.6
468,97.5,907,-0.00387,0.0563,76,120,11.6,17.1,0.0814,0.166,0.286,15.9,16.5
232,116,1.67E+03,0.0144,0.0592,59.7,155,9.58,23.7,0.109,0.138,0.226,16.8,29.2
203,-53.4,423,0.0691,0.061,70.1,73.6,10.9,12,0.0876,0.122,0.24,17.6,34.2
1.30E+03,41.7,641,0.0539,0.0567,130,90,19.8,13.4,0.113,0.174,0.214,23.4,19.4
755,98.3,2.39E+03,-0.000653,0.0596,98.7,201,15.2,29.1,0.0809,0.129,0.289,14.3,38.1
693,46.9,1.08E+03,0.00442,0.0725,90,117,14.3,18.1,0.0977,0.116,0.262,18,25.6
553,103,1.55E+03,-0.0278,0.0712,93.2,156,14,22.3,0.109,0.126,0.202,17.4,20.5
398,7.22,1.03E+03,0.000751,0.063,87.4,129,13.4,19.6,0.0977,0.122,0.278,19.9,32.7
396,80.3,1.29E+03,0.0718,0.0722,70.7,128,11,18.5,0.0932,0.137,0.298,25.7,37.4
1.12E+03,60.2,1.27E+03,0.0121,0.0541,121,146,18.5,21.1,0.104,0.102,0.382,11.4,33
507,-12.1,210,0.0224,0.0761,86.7,66.3,13.2,10.4,0.106,0.131,0.192,19.6,26.8
867,45.2,1.35E+03,0.0486,0.0652,106,142,16.4,21.4,0.109,0.181,0.271,15.1,29.5
785,35.3,1.01E+03,0.0361,0.059,96.6,106,14.7,16.3,0.0724,0.129,0.374,25,26.1
709,78.3,1.33E+03,-0.018,0.0602,103,140,15.5,21,0.0937,0.147,0.359,16.5,34.2
1.26E+03,0.137,8.39,0.0466,0.0694,133,63.6,20.1,10,0.103,0.127,0.258,25.7,28.9
608,48.6,1.42E+03,0.031,0.0666,89.7,128,13.9,19.7,0.0869,0.133,0.293,26.5,23.4
599,88.6,1.37E+03,0.0274,0.0571,86.3,138,13.4,21.3,0.114,0.125,0.274,17.4,24.4
421,32.9,468,0.0746,0.0563,78.1,86.1,12,12.9,0.0941,0.158,0.229,14.4,26.9
379,58.3,1.19E+03,-0.0128,0.0552,75.5,115,11.6,17.2,0.0905,0.154,0.254,11.2,23.9
1.04E+03,15.6,325,0.00989,0.0587,115,91,17.5,13.5,0.0912,0.132,0.211,19.3,32
1.03E+03,-6.42,1.37E+03,0.00317,0.0608,113,143,17.6,20.7,0.0817,0.123,0.261,15.1,37.5
1.00E+03,6.54,357,0.0094,0.0668,120,81.8,18.3,12.5,0.116,0.133,0.394,23.5,28.3
221,35.3,1.06E+03,0.0337,0.055,67.7,114,10.8,17.2,0.0843,0.13,0.302,21.5,20.9
835,41.5,1.08E+03,0.0344,0.0572,106,119,16.6,18.6,0.0921,0.084,0.336,20.2,40.6
810,30.6,833,0.093,0.0694,103,105,16.1,15.8,0.134,0.146,0.212,16.3,29.3
608,10.5,264,0.0318,0.0503,85.6,69.9,13.3,10.4,0.095,0.114,0.407,31,28
680,23.9,1.00E+03,-0.000976,0.0674,94.7,113,14.1,16.6,0.0767,0.149,0.219,15.5,16.3
81,18.6,1.20E+03,0.0247,0.0656,57.7,127,9.18,18.7,0.0705,0.0863,0.307,17.9,22.7
847,-1.35,975,-0.00935,0.065,109,113,16.8,16.5,0.0916,0.115,0.243,16.3,22.6
755,112,1.43E+03,0.13,0.0605,93.6,136,14.3,20.1,0.108,0.16,0.23,23.7,21.5
315,71.2,1.24E+03,0.00599,0.0597,69.8,130,11.2,19.6,0.0966,0.109,0.21,26.7,27.1
1.09E+03,121,1.25E+03,0.00186,0.0653,116,123,17.3,18.4,0.0877,0.138,0.172,15.9,24.2
1.08E+03,5.12,-65.2,0.0212,0.0468,122,50.6,18.5,7.77,0.103,0.0763,0.292,23.1,21.5
521,20.6,786,-0.0288,0.0602,83.4,112,13.2,16.5,0.0882,0.12,0.253,17.6,33.2
303,31.2,846,0.0684,0.0797,68.3,103,10.6,15.6,0.0804,0.128,0.188,22.5,30
353,94.3,1.09E+03,0.0702,0.0637,66.9,123,10.5,18.3,0.119,0.158,0.285,21.3,32.6
493,10.9,389,0.0337,0.059,76.7,78.9,12,11.4,0.1,0.118,0.298,24,28.9
355,-29.7,491,0.00157,0.0538,70.8,76.7,11.2,12.4,0.0744,0.129,0.304,11,24.9
613,84.5,1.22E+03,-0.00544,0.0586,82.3,138,13,20.6,0.0924,0.0908,0.303,20.2,27.9
802,62.1,760,0.0441,0.0686,102,102,15.6,15.4,0.107,0.141,0.256,17.5,18.7
1.20E+03,20.4,1.02E+03,0.0451,0.0703,130,114,19.7,16.9,0.0665,0.117,0.287,22.3,22.7
634,10.2,312,-0.019,0.0585,89.5,85.9,13.7,12.6,0.102,0.172,0.283,16.6,34.4
34.9,26.8,288,0.0401,0.0628,56.1,75.9,8.66,11.4,0.088,0.126,0.147,23.6,19.4
490,32.6,776,0.0551,0.0595,82.2,96.1,12.4,14.4,0.0876,0.136,0.358,24.7,18.9
1.13E+03,14.7,955,0.0319,0.0582,125,113,18.8,16.1,0.115,0.158,0.269,21.7,29.4
516,65.6,1.20E+03,-0.000351,0.0617,77.7,117,12.2,18,0.0588,0.0884,0.295,20.5,31.3
449,-10.6,953,0.0229,0.0569,81.1,102,12.7,16,0.101,0.165,0.249,21.5,24.3
176,-6.44,740,0.0373,0.0694,60.6,99.5,9.65,14.3,0.101,0.142,0.38,24,25.1
384,133,2.18E+03,0.0516,0.0534,76.5,173,11.7,26.8,0.0867,0.134,0.244,16.9,28
159,-39.8,729,0.085,0.0599,63.9,103,10,15.7,0.0752,0.149,0.253,15.1,25.5
995,89.4,944,0.06,0.057,112,122,17,18.1,0.109,0.127,0.392,25.8,17.4
800,45.8,460,0.0651,0.0492,104,82.8,15.7,13.2,0.0997,0.111,0.201,20,30.8
1.16E+03,-5.03,1.18E+03,-0.00374,0.0685,130,122,19.6,18.8,0.0767,0.135,0.274,20.9,38.7
472,91.9,940,0.0352,0.0648,85.3,118,12.7,17.8,0.0956,0.0899,0.186,25.1,32.8
366,39.3,868,0.0215,0.0585,70.5,105,11.2,16.2,0.0846,0.122,0.137,23.3,30.1
871,115,1.48E+03,0.0692,0.0439,105,149,15.9,21.7,0.0928,0.158,0.254,19.5,25.2
592,115,1.64E+03,0.0213,0.0615,83.8,152,12.9,22.1,0.0865,0.125,0.348,20.1,24.4
298,-76.4,-282,-0.00364,0.0627,64.6,46.9,10.5,7.3,0.0881,0.165,0.23,19.5,27.6
213,82.3,1.18E+03,0.0924,0.0674,60.8,127,9.43,19.1,0.0878,0.141,0.26,16.2,17.1
458,71.1,969,0.0784,0.0479,81.1,108,12.8,16.8,0.104,0.142,0.347,18.3,17.8
480,61,984,0.0387,0.0639,81.3,106,12.7,16.6,0.119,0.162,0.316,23.4,22.9
371,78.1,1.01E+03,5.95E-05,0.0607,73.4,112,11.3,17,0.118,0.129,0.33,12.7,23.7
1.45E+03,52.6,1.29E+03,0.0305,0.0643,143,129,21.6,19.3,0.0942,0.115,0.436,25.8,30.1
-123,51.2,835,0.00303,0.0656,40.9,99.4,6.87,16,0.0873,0.127,0.307,19.9,23.2
998,41.2,951,0.00489,0.0581,112,110,17.3,16.8,0.0707,0.11,0.225,23.9,30.8
509,102,1.01E+03,-0.00159,0.062,80.1,127,12.4,18.7,0.0844,0.111,0.308,20.1,24.7
401,96.9,1.09E+03,0.0278,0.0575,76.5,138,11.9,20,0.103,0.126,0.296,25.1,20.6
89.8,44.7,1.56E+03,0.00498,0.0636,58.4,144,9.5,22.1,0.0771,0.118,0.383,21.2,15
727,-52.4,281,0.111,0.0479,94.9,65.8,14.7,10.5,0.0824,0.133,0.369,23.9,16.9
991,79.7,1.55E+03,0.0576,0.054,118,150,17.8,22.5,0.0921,0.123,0.201,22.2,28.7
444,-60.6,121,0.0656,0.0755,74.1,54.8,12,8.75,0.088,0.134,0.31,19.9,32.5
451,81.4,927,0.0169,0.0544,75.7,109,11.5,16.4,0.111,0.168,0.268,17.9,20.1
805,71.2,1.64E+03,-0.00672,0.0776,102,160,15.4,23.1,0.079,0.149,0.228,22.1,18.7
473,42.5,1.24E+03,0.0101,0.06,81.7,136,12.6,20.3,0.109,0.113,0.282,13.2,28.1
641,4.07,648,0.0491,0.0624,94.1,90,14.6,14.7,0.104,0.102,0.284,14.5,28.5
-123,34.4,1.25E+03,0.092,0.0537,48.3,128,7.35,18.5,0.105,0.186,0.193,25,22.9
889,7.82,753,0.0542,0.048,111,94.9,16.5,14.4,0.0975,0.168,0.204,7.43,25.4
1.37E+03,-23.3,458,0.00234,0.0615,139,86.3,21.2,12.2,0.0932,0.173,0.338,17.8,31.1
885,96.8,2.12E+03,0.0387,0.0657,108,173,16.4,25.7,0.0897,0.146,0.188,20.5,29.6
821,73.2,1.26E+03,0.015,0.056,102,136,15.8,19.8,0.0936,0.154,0.294,21.5,22
1.25E+03,53.7,1.78E+03,0.0397,0.0558,136,165,20.6,24,0.104,0.113,0.366,17.1,26.6
107,74,917,0.0307,0.0768,57.2,104,9.13,17.3,0.0852,0.108,0.264,18.6,19.9
358,119,2.06E+03,0.0531,0.0579,69.4,168,11,24.5,0.114,0.132,0.227,19.2,36.8
-5.13,77.2,673,0.0233,0.0613,45.9,99.9,7.47,14.8,0.0906,0.112,0.303,23.1,19.9
1.32E+03,-12.8,360,0.0181,0.081,128,79.1,19.5,11.8,0.103,0.158,0.205,17.4,28.5
289,68.4,1.50E+03,0.00802,0.0671,67.4,155,10.9,22.3,0.0987,0.149,0.275,20.9,28
1.49E+03,3.71,908,0.0827,0.0664,150,101,22.9,15.8,0.0998,0.131,0.266,20.6,31.5
1.50E+03,-69.9,-486,0.00838,0.06,149,41.3,22.6,6.52,0.0993,0.173,0.263,21.3,28.4
413,-27,689,0.0389,0.0624,76.8,94.5,12.2,14.7,0.0941,0.125,0.353,12.7,29.6
911,93.6,1.61E+03,0.0136,0.0553,104,156,16.5,22.9,0.101,0.127,0.259,21.4,27.3
1.23E+03,138,1.28E+03,0.0883,0.0617,128,119,18.9,18.2,0.0974,0.175,0.289,31.8,26.4
566,76.2,1.42E+03,0.02,0.0626,87,146,13.5,21.9,0.0862,0.0956,0.228,14.8,29.4
715,112,1.62E+03,0.0262,0.0663,96.8,147,14.8,22,0.106,0.149,0.244,19.7,22.7
480,57.5,658,0.0342,0.0628,79.5,97.6,12.8,15.3,0.111,0.108,0.311,23.1,23.9
131,-38.9,-215,-0.00119,0.0745,58.9,49,9.43,8.75,0.0992,0.122,0.315,16.7,28.3
781,110,1.61E+03,0.0626,0.073,99.7,156,15.3,22.8,0.102,0.122,0.225,14.1,26.7
778,-59.8,-21.7,-0.0253,0.0606,103,54.4,15.6,8.41,0.0754,0.136,0.306,15.3,25.1
1.13E+03,60,1.55E+03,0.0233,0.0678,135,144,20.3,21.9,0.102,0.133,0.283,25.1,21.5
591,79.4,1.33E+03,0.00115,0.0633,90.5,139,13.7,21.1,0.109,0.124,0.329,17.8,29.1
609,30.8,881,0.0942,0.072,88.4,110,13.5,16.1,0.0756,0.125,0.347,24.9,17.2
854,85.9,1.31E+03,0.0132,0.0569,104,124,15.7,19.3,0.0957,0.132,0.292,18.9,26.5
720,58.6,861,0.0355,0.0615,103,120,15.4,17.6,0.106,0.13,0.363,13.1,33.7
1.20E+03,9.75,1.01E+03,-0.0233,0.0626,121,118,18.9,16.8,0.0909,0.119,0.306,10.6,31.6
290,16.5,689,0.0226,0.069,69.6,102,10.8,15.9,0.108,0.134,0.237,11.7,32.8
1.09E+03,55.2,755,0.0268,0.0578,122,113,18.2,16.4,0.0994,0.152,0.354,20.6,19.2
724,73.1,1.17E+03,0.03,0.0516,98.5,126,15,19,0.115,0.132,0.297,27,31.3
927,21.3,721,0.0629,0.052,114,83,17.3,13.2,0.0809,0.117,0.341,22.2,30.4
913,58.2,1.47E+03,-0.0317,0.0741,108,136,16.6,19.8,0.108,0.142,0.322,18.9,24.1
800,60.3,418,0.0173,0.0548,95.9,81,14.8,12.4,0.0935,0.132,0.32,13.5,21.8
287,138,2.09E+03,-0.00291,0.0555,68.3,182,10.5,27,0.105,0.144,0.313,17.7,17.5
505,54.5,264,0.00634,0.0654,79.4,78.3,12.4,11.9,0.107,0.108,0.328,22.6,21.6
336,65.7,695,0.0321,0.0689,69.7,105,11.2,15.8,0.117,0.166,0.339,18.4,24.3
396,45.4,-90.9,0.0159,0.0634,68.3,58.6,10.4,8.54,0.125,0.124,0.329,17.5,22.3
637,-48.3,-64.9,0.0389,0.069,84,44.4,13.2,7.44,0.0717,0.148,0.443,22.3,19.1
551,33.6,282,-0.0199,0.0596,79.7,66.1,12.3,10.9,0.0685,0.0993,0.289,19,33.9
363,49.8,604,-0.0215,0.0554,70.8,89.7,11.2,13.5,0.117,0.141,0.346,16.4,20.5
76.9,28.2,-79.3,0.0352,0.0589,47.7,40.6,7.34,6.94,0.107,0.145,0.346,18.2,33.5
1.27E+03,-22.4,-22,0.0164,0.0781,139,56.5,20.6,10.2,0.107,0.115,0.304,10.7,26.1
1.22E+03,-16.4,44.4,0.0266,0.0661,130,71.4,19.5,11.6,0.0941,0.127,0.22,14.7,24.1
122,66.5,1.71E+03,0.0308,0.075,58.8,153,9.69,23.6,0.108,0.14,0.352,21.4,36.1
962,-47.3,397,0.0294,0.0706,119,66.7,17.8,10.6,0.083,0.155,0.349,17.4,18.6
384,45,80.1,0.0211,0.0571,69.1,64.4,10.6,10.5,0.079,0.116,0.28,28.2,38.9
850,-24,112,0.0503,0.0543,107,58,16.3,9.29,0.0805,0.122,0.294,16.3,27.2
814,43.8,431,0.0853,0.05,104,87.8,15.8,13.7,0.11,0.134,0.258,15,34.1
1.03E+03,-64.5,906,0.0778,0.0664,124,107,19.1,17,0.0983,0.164,0.222,18.2,27.8
871,30,1.09E+03,-0.00874,0.0759,112,113,17,17.7,0.1,0.125,0.193,18.3,20.4
257,157,1.40E+03,0.0809,0.0625,61.7,145,9.45,21.9,0.103,0.172,0.427,20,11.5
420,-32.1,-68.3,0.011,0.0675,82.2,43.6,12.5,8.38,0.113,0.138,0.298,14.2,23.6
404,4.29,478,0.0355,0.0675,76.2,86,11.7,12.7,0.115,0.105,0.243,15.1,19.9
620,90.8,1.68E+03,0.0059,0.0664,85.4,152,13.2,22.7,0.121,0.15,0.343,18.3,31.4
701,71.1,411,0.0635,0.0679,83,95.1,12.9,14.3,0.101,0.135,0.375,15.8,34
389,-81.5,-640,0.0386,0.0582,73.6,23.1,11.6,3.41,0.111,0.134,0.314,17.7,32.7
273,-3.29,480,0.0595,0.0399,69.2,75.7,11,11.3,0.0897,0.184,0.305,23.9,17.4
523,57,925,0.0269,0.0688,78.6,108,12.4,16.6,0.116,0.129,0.355,20.3,26.1
692,23.8,498,0.0365,0.0632,96.7,91,14.5,13.2,0.0852,0.143,0.199,18.5,13.5
1.17E+03,4.88,821,0.0623,0.0562,126,103,19.1,15.7,0.0942,0.14,0.305,19.3,29.8
943,-17.1,1.19E+03,0.00826,0.0563,117,120,18.5,18.8,0.0814,0.0808,0.331,12,15.4
783,84.9,1.49E+03,-0.0142,0.0687,99.7,147,15.4,22.3,0.0875,0.121,0.364,20.8,20.6
829,88.7,1.19E+03,0.0471,0.0555,108,130,16.3,19.2,0.118,0.105,0.294,13.9,15
912,98.5,1.55E+03,0.0199,0.0714,108,152,16.1,22.4,0.0982,0.188,0.278,8.26,25.2
405,159,1.51E+03,0.0687,0.0635,65.5,143,9.78,22.2,0.102,0.119,0.334,23.3,31.1
270,-24.6,317,0.062,0.0599,65.1,61.2,10.5,9.15,0.0736,0.121,0.328,26.4,19.2
1.01E+03,44.5,872,0.0376,0.0733,122,98.2,17.9,15.2,0.106,0.138,0.217,32.7,19.2
368,29.2,1.10E+03,0.0267,0.0596,72.2,112,11.5,17.5,0.0917,0.141,0.363,22.6,32.7
1.20E+03,69,340,0.0164,0.0477,126,76.8,19.1,11.9,0.124,0.129,0.234,25.4,23.4
112,113,976,0.000249,0.0494,44,126,7.27,19,0.0988,0.123,0.31,21.9,31.3
325,46.4,972,0.0144,0.0537,65,127,10.4,17.8,0.113,0.138,0.285,19.1,17.2
27.3,40,731,0.0675,0.0598,49,99.4,7.52,14.2,0.102,0.159,0.267,21.4,37.5
287,30,1.26E+03,0.0552,0.0607,64.5,118,10.2,18.2,0.0907,0.166,0.241,20.6,25
660,9.91,1.06E+03,0.0354,0.0662,95.2,120,14.6,17.6,0.0894,0.112,0.297,13.8,21.8
661,7.19,1.61E+03,0.0642,0.069,95.7,144,15,22.4,0.0888,0.128,0.372,18.6,22.8
104,180,2.11E+03,0.0938,0.054,53.7,185,8.25,27.5,0.0867,0.142,0.314,24,25.9
384,45.7,5.41,0.0626,0.0615,65.9,60.4,10.2,9.44,0.103,0.158,0.388,22.7,26.5
1.66E+03,-57,800,0.0336,0.0683,164,104,24.7,15.8,0.0477,0.146,0.334,17.9,33.2
954,146,870,0.0333,0.0569,107,100,16.1,15.3,0.106,0.104,0.223,19.6,10.2
215,37.3,866,0.083,0.066,58.8,105,9.64,16.5,0.0887,0.202,0.421,24.7,17.5
697,19.4,885,0.0236,0.0576,93,108,14.1,16.9,0.0838,0.158,0.314,14.8,31.1
753,-61.6,125,0.0281,0.0594,99.4,57.3,15.5,8.85,0.108,0.113,0.376,17.6,25.3
1.04E+03,-6.83,329,0.0434,0.0627,121,76.4,18.3,11.7,0.113,0.118,0.36,13.1,25.7
767,-87.3,-480,-0.013,0.065,104,29.5,15.8,5.44,0.0734,0.124,0.321,21.4,23.2
1.33E+03,95.3,1.51E+03,0.0652,0.0574,143,150,21,22.3,0.0927,0.167,0.198,18.2,20.2
1.02E+03,79.8,1.10E+03,0.04,0.0509,122,127,18.4,17.9,0.105,0.118,0.348,26.6,24
902,66.4,1.40E+03,0.0451,0.0701,103,153,15.9,22.1,0.109,0.173,0.263,20.1,30.6
868,93.8,1.24E+03,0.038,0.0585,107,134,16.4,20.6,0.0946,0.1,0.35,23.3,25.9
761,50.7,1.39E+03,0.0376,0.0633,98,142,15.3,20.9,0.103,0.144,0.198,24,35.1
898,40.7,1.48E+03,0.0188,0.0663,115,145,17.3,21.7,0.0808,0.107,0.354,15.4,10.1
701,49,375,0.0477,0.0733,94.4,72.3,14.1,11.9,0.12,0.138,0.414,24.7,18.3
858,44.6,416,0.0838,0.0643,111,80.6,16.6,12.9,0.0888,0.123,0.265,23.4,21.4
61.6,22.1,547,0.0229,0.07,56.1,96.1,8.76,14.2,0.0624,0.109,0.284,13.4,21.6
599,20.4,1.38E+03,0.0799,0.0621,88.9,149,13.9,21.5,0.0714,0.154,0.303,20.8,27
621,52.5,575,0.0137,0.0641,90.4,90.8,13.7,13.2,0.122,0.112,0.28,18.2,34.5
640,6.37,379,0.00943,0.0553,90.6,78.4,13.9,12.2,0.0662,0.117,0.288,15.5,20.8
840,125,809,0.00952,0.0593,100,93.9,15.3,15.4,0.104,0.113,0.183,19,27
601,11.8,417,0.0517,0.0755,87.5,73.9,13.4,12.1,0.103,0.127,0.309,13.4,22.1
765,61.5,1.29E+03,0.0171,0.0625,100,139,15.4,20.5,0.0981,0.136,0.257,27.9,25.8
457,-27.1,734,0.0455,0.0614,83.8,103,13.2,15.4,0.0948,0.13,0.242,21.2,27.6
1.27E+03,50.6,215,0.00556,0.0703,133,66.6,20.3,10.5,0.095,0.11,0.304,23,18.1
919,104,1.32E+03,-0.0149,0.0544,106,142,15.9,21.9,0.0941,0.132,0.395,21.9,28.6
722,75.9,583,0.0211,0.0582,93.1,93.7,14.5,13.7,0.111,0.135,0.217,25.7,24.2
997,-7.42,1.35E+03,0.0405,0.0741,122,140,18.4,20.4,0.102,0.133,0.23,11.6,22.2
905,-30.7,995,0.0308,0.0691,108,117,16.7,16.6,0.0683,0.159,0.317,20,33.9
517,84.1,1.12E+03,0.0867,0.0627,78.6,112,12.3,17.5,0.0742,0.132,0.288,16.2,24.1
613,45.1,983,0.0351,0.0644,92.5,110,13.8,16.8,0.0691,0.0887,0.341,21.6,23
712,-1.03,449,0.0132,0.0657,99.5,81.9,15.5,12.2,0.095,0.124,0.292,17.4,29.1
669,-3.7,293,0.0513,0.0602,101,78.6,15.5,11.8,0.111,0.115,0.196,17,28.7
341,72.9,1.27E+03,0.0106,0.0586,65.2,128,10.1,19,0.0943,0.15,0.326,15.2,20.2
115,60,1.61E+03,0.103,0.0644,59.7,156,9.54,22.3,0.0956,0.161,0.269,16.1,22.7
784,27.1,1.23E+03,-0.00469,0.0653,106,112,16,18.4,0.107,0.129,0.352,17.7,21.8
267,31.4,972,0.0291,0.0596,70.4,112,11.1,17.6,0.12,0.121,0.238,21.3,30.6
952,25.6,797,0.0165,0.0562,107,102,16.5,16.1,0.0951,0.125,0.393,18.1,34.1
689,52.9,962,0.0455,0.0586,90.4,120,13.9,17.8,0.0986,0.182,0.244,17.7,20.9
800,-15.7,7.35,0.00763,0.0652,96.8,64.3,14.8,9.69,0.0817,0.159,0.258,23.2,28.8
1.08E+03,73.9,933,0.00419,0.0615,120,110,18,17.2,0.108,0.133,0.316,17.1,21.7
835,67.2,1.30E+03,0.0332,0.07,111,118,16.9,19.3,0.0931,0.125,0.311,22.5,13
291,77.3,1.62E+03,0.0317,0.0708,68.6,149,11,23.4,0.118,0.178,0.287,23.6,37.7
577,-56,-568,0.0284,0.0534,88.4,23.5,13.7,4.78,0.0942,0.124,0.396,16.8,30.8
1.26E+03,45,957,0.0264,0.058,131,114,20,17.6,0.0774,0.144,0.331,16.9,26.2
599,58.7,1.09E+03,0.0311,0.0467,92.5,115,14,17.1,0.0937,0.132,0.301,20,16.9
